Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-02-23 18:47:52,false,"Quan Cam Le - Yasso 800s","8.32","540","00:51:14","159","180","172","186","6:10","4:38","2","4","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.22.2","12","0.0","--","--","--","--","--","--","--","00:51:11","00:51:14","2","5"
Running,2023-02-21 18:35:16,false,"Quan Cam Le Running","12.59","773","01:27:47","142","161","172","180","6:58","5:27","17","24","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:27:46.92.8","1","0.0","--","--","--","--","--","--","--","01:27:47","01:27:47","1","11"
Running,2023-02-19 16:48:12,false,"Quan Cam Le Running","21.10","1,336","02:11:33","156","172","174","185","6:14","5:41","62","64","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:11:33.44.4","1","0.0","--","--","--","--","--","--","--","02:11:17","02:17:04","-3","12"
Other,2023-02-18 17:30:38,false,"Other","0.00","216","00:31:48","119","150","37","246","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","31:47.64.9","1","0.0","--","--","--","--","--","--","--","00:00:00","00:31:57","--","--"
Running,2023-02-17 19:10:59,false,"Quan Cam Le Running","7.22","447","00:46:23","142","149","172","180","6:25","5:37","17","26","0.90","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","46:22.57.5","1","0.0","--","--","--","--","--","--","--","00:46:22","00:46:23","-4","11"
Running,2023-02-16 18:18:47,false,"Quan Cam Le Running","10.07","639","00:59:29","153","170","177","231","5:54","5:11","33","30","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","59:28.71.8","1","0.0","--","--","--","--","--","--","--","00:59:22","01:00:13","-3","11"
Running,2023-02-14 18:24:28,false,"Quan Cam Le Running","10.04","606","01:08:20","142","158","171","211","6:48","5:55","23","23","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:08:20.15","1","0.0","--","--","--","--","--","--","--","01:08:20","01:08:20","--","7"
Running,2023-02-13 06:12:04,false,"Quan Cam Le Running","5.58","342","00:38:40","139","148","169","177","6:56","6:06","17","25","0.85","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","38:39.55.4","1","0.0","--","--","--","--","--","--","--","00:38:28","00:39:21","1","11"
Running,2023-02-12 06:09:37,false,"Quan Cam Le Running","9.49","576","01:01:01","145","160","172","183","6:26","5:28","22","22","0.91","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:01:01.27","1","0.0","--","--","--","--","--","--","--","01:00:59","01:01:46","--","7"
Running,2023-02-12 05:24:29,false,"Quan Cam Le Running","6.98","417","00:44:36","140","149","172","180","6:23","5:51","11","11","0.91","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","44:35.56.9","1","0.0","--","--","--","--","--","--","--","00:44:36","00:44:46","--","7"
